Movie_name,Rating,Duration,Release_year,Genre,Director,Num_Reviews,Metascore,Summary
176. 16 Blocks,6.6,1h 42m,2006,drama,Richard Donner, (136K),63,"An aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. There are, however, chaotic forces at work that prevent them from making it in one piece."
177. 300,7.6,1h 57m,2006,drama,Zack Snyder, (886K),52,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army."
178. A Millionaire's First Love,7.2,1h 56m,2006,drama,Tae-gyun Kim, (5.5K),N/A,"When a high school diploma from a school in Gangwon Province becomes the key to unlocking his vast inheritance, a spoiled teen Kang Jae Kyung gets an invaluable lesson in life and love in a rural village."
179. Babel,7.5,2h 23m,2006,drama,Alejandro G. Iñárritu, (323K),69,"Tragedy strikes a married couple on vacation in the Moroccan desert, which jump starts an interlocking story involving four different families."
180. Bommarillu,8.2,2h 50m,2006,drama,Bommarillu Baskar, (10K),N/A,A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.
182. Children of Men,7.9,1h 49m,2006,drama,Alfonso Cuarón, (544K),84,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
185. Fanaa,7.1,2h 48m,2006,drama,Kunal Kohli, (36K),N/A,A sweet blind girl Zooni meets a flirty Rehan. She ignores her friends' warnings. It's her time to discover life. Is she making the right love choice?
186. Inside Man,7.6,2h 9m,2006,drama,Spike Lee, (410K),76,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
187. Lage Raho Munna Bhai,8.0,2h 24m,2006,drama,Rajkumar Hirani, (52K),N/A,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
188. Little Children,7.5,2h 17m,2006,drama,Todd Field, (119K),75,"The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations in suburban Massachusetts."
189. Lucky Number Slevin,7.7,1h 50m,2006,drama,Paul McGuigan, (331K),53,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
194. My Autograph,7.9,3h 5m,2006,drama,Sudeep, (428),N/A,"The story revolves around Shankar, working in an advertising agency who comes to his village to invite his friends to his marriage. He remembers the good old days and also sees how his friends are faring now. All this is told in flashback."
195. Pan's Labyrinth,8.2,1h 58m,2006,drama,Guillermo del Toro, (720K),98,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks."
197. Rang De Basanti,8.1,2h 47m,2006,drama,Rakeysh Omprakash Mehra, (124K),N/A,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
199. Starter for 10,6.7,1h 32m,2006,drama,Tom Vaughan, (26K),69,"Set in 1985, working-class student Brian Jackson (McAvoy) navigates his first year at Bristol University."
202. The Departed,8.5,2h 31m,2006,drama,Martin Scorsese, (1.5M),85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
203. The Fall,7.8,1h 57m,2006,drama,Tarsem Singh, (122K),64,"In 1920s Los Angeles, a bedridden patient in a hospital captivates a young girl with a fantastic tale of heroes, myths, and villains on a desert island."
204. The Girl Who Leapt Through Time,7.7,1h 38m,2006,drama,Mamoru Hosoda, (73K),66,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
206. The Host,7.1,2h,2006,drama,Bong Joon Ho, (137K),85,A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.
207. The Illusionist,7.5,1h 50m,2006,drama,Neil Burger, (396K),68,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
208. The Prestige,8.5,2h 10m,2006,drama,Christopher Nolan, (1.5M),66,Rival 19th-century magicians engage in a bitter battle for trade secrets.
209. The Pursuit of Happyness,8.0,1h 57m,2006,drama,Gabriele Muccino, (586K),64,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
210. Vettaiyaadu Vilaiyaadu,7.9,2h 54m,2006,drama,Gautham Vasudev Menon, (8.5K),N/A,"A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country."
"211. #73, Shaanthi Nivaasa",7.5,2h 37m,2007,drama,G V Arunkumar, (249),N/A,"Raghu, who enters a dysfunctional family with a hidden intention, brings them closer."
212. 3:10 to Yuma,7.6,2h 2m,2007,drama,James Mangold, (341K),76,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
